Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.6%,1809,14.1,8,80,64,9.8,7.5,106.4,0,JeffJu00
2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.0%,1710,14.4,7,77,64,10.1,7.0,100.6,1,HillTy00
3,Travis Kelce*+,KAN,33,TE,17,17,152,110,72.4%,1338,12.2,12,78,52,8.8,6.5,78.7,1,KelcTr00
4,Stefon Diggs*,BUF,29,WR,16,16,154,108,70.1%,1429,13.2,11,74,53,9.3,6.8,89.3,1,DiggSt00
5,Austin Ekeler,LAC,27,RB,17,17,127,107,84.3%,722,6.7,5,36,23,5.7,6.3,42.5,5,EkelAu00
6,CeeDee Lamb*,DAL,23,WR,17,17,156,107,68.6%,1359,12.7,9,67,39,8.7,6.3,79.9,0,LambCe00
7,Amon-Ra St. Brown*,DET,23,WR,16,16,146,106,72.6%,1161,11.0,6,68,49,8.0,6.6,72.6,0,StxxAm00
8,Chris Godwin,TAM,26,WR,15,13,142,104,73.2%,1023,9.8,3,53,44,7.2,6.9,68.2,2,GodwCh00
9,Davante Adams*+,LVR,30,WR,17,17,180,100,55.6%,1516,15.2,14,65,60,8.4,5.9,89.2,1,AdamDa01
10,Michael Pittman Jr.,IND,25,WR,16,16,141,99,70.2%,925,9.3,4,51,28,6.6,6.2,57.8,2,PittMi01
11,DeVonta Smith,PHI,24,WR,17,17,136,95,69.9%,1196,12.6,7,57,45,8.8,5.6,70.4,1,SmitDe07
12,D.K. Metcalf,SEA,25,WR,17,17,141,90,63.8%,1048,11.6,6,47,54,7.4,5.3,61.6,2,MetcDK00
13,A.J. Brown*,PHI,25,WR,17,16,145,88,60.7%,1496,17.0,11,59,78,10.3,5.2,88.0,2,BrowAJ00
14,Ja'Marr Chase*,CIN,22,WR,12,12,134,87,64.9%,1046,12.0,9,58,60,7.8,7.3,87.2,2,ChasJa00
15,T.J. Hockenson*,2TM,25,TE,17,14,129,86,66.7%,914,10.6,6,44,81,7.1,5.1,53.8,1,HockTJ00
16,Diontae Johnson,PIT,26,WR,17,17,147,86,58.5%,882,10.3,0,45,37,6.0,5.1,51.9,1,JohnDi01
17,Christian McCaffrey*,2TM,26,RB,17,16,108,85,78.7%,741,8.7,5,36,49,6.9,5.0,43.6,1,McCaCh01
18,Christian Kirk,JAX,26,WR,17,17,133,84,63.2%,1108,13.2,8,55,49,8.3,4.9,65.2,1,KirkCh01
19,Tyler Lockett,SEA,30,WR,16,16,117,84,71.8%,1033,12.3,9,50,40,8.8,5.3,64.6,2,LockTy00
20,Garrett Wilson,NYJ,22,WR,17,12,147,83,56.5%,1103,13.3,4,56,60,7.5,4.9,64.9,2,WilsGa00
21,Zay Jones,JAX,27,WR,16,15,121,82,67.8%,823,10.0,5,44,59,6.8,5.1,51.4,0,JoneZa00
22,Brandon Aiyuk,SFO,24,WR,17,17,114,78,68.4%,1015,13.0,8,47,54,8.9,4.6,59.7,1,AiyuBr00
23,Amari Cooper,CLE,28,WR,17,17,132,78,59.1%,1160,14.9,9,61,55,8.8,4.6,68.2,0,CoopAm00
24,JuJu Smith-Schuster,KAN,26,WR,16,14,101,78,77.2%,933,12.0,3,47,53,9.2,4.9,58.3,3,SmitJu00
25,Mike Evans,TAM,29,WR,15,15,127,77,60.6%,1124,14.6,6,53,63,8.9,5.1,74.9,0,EvanMi00
26,Terry McLaurin*,WAS,27,WR,17,17,120,77,64.2%,1191,15.5,5,56,52,9.9,4.5,70.1,1,McLaTe00
27,Cooper Kupp,LAR,29,WR,9,9,98,75,76.5%,812,10.8,6,42,75,8.3,8.3,90.2,2,KuppCo00
28,Jaylen Waddle,MIA,24,WR,17,17,117,75,64.1%,1356,18.1,8,60,84,11.6,4.4,79.8,1,WaddJa00
29,Tee Higgins,CIN,23,WR,16,14,109,74,67.9%,1029,13.9,7,47,59,9.4,4.6,64.3,0,HiggTe00
30,Mark Andrews*,BAL,27,TE,15,15,113,73,64.6%,847,11.6,5,48,36,7.5,4.9,56.5,1,AndrMa00
31,Evan Engram,JAX,28,TE,17,14,98,73,74.5%,766,10.5,4,33,36,7.8,4.3,45.1,0,EngrEv00
32,Leonard Fournette,TAM,27,RB,16,9,83,73,88.0%,523,7.2,3,26,44,6.3,4.6,32.7,0,FourLe00
33,Tyler Higbee,LAR,29,TE,17,17,108,72,66.7%,620,8.6,3,32,26,5.7,4.2,36.5,0,HigbTy00
34,Drake London,ATL,21,WR,17,15,117,72,61.5%,866,12.0,4,48,40,7.4,4.2,50.9,3,LondDr00
35,Chris Olave,NOR,22,WR,15,9,119,72,60.5%,1042,14.5,4,48,53,8.8,4.8,69.5,2,OlavCh00
36,Josh Palmer,LAC,24,WR,16,11,107,72,67.3%,769,10.7,3,39,50,7.2,4.5,48.1,1,PalmJo00
37,Adam Thielen,MIN,32,WR,17,17,107,70,65.4%,716,10.2,6,45,36,6.7,4.1,42.1,0,ThieAd00
38,Rhamondre Stevenson,NWE,24,RB,17,7,88,69,78.4%,421,6.1,1,13,40,4.8,4.1,24.8,4,StevRh00
39,Marquise Brown,ARI,25,WR,12,10,107,67,62.6%,709,10.6,3,33,47,6.6,5.6,59.1,1,BrowMa04
40,Jerry Jeudy,DEN,23,WR,15,14,100,67,67.0%,972,14.5,6,41,67,9.7,4.5,64.8,0,JeudJe00
41,Jakobi Meyers,NWE,26,WR,14,13,96,67,69.8%,804,12.0,6,38,48,8.4,4.8,57.4,2,MeyeJa01
42,Keenan Allen,LAC,30,WR,10,10,89,66,74.2%,752,11.4,4,39,46,8.4,6.6,75.2,1,AlleKe00
43,DeAndre Hopkins,ARI,30,WR,9,9,96,64,66.7%,717,11.2,3,35,33,7.5,7.1,79.7,2,HopkDe00
44,Curtis Samuel,WAS,26,WR,17,12,92,64,69.6%,656,10.3,4,36,49,7.1,3.8,38.6,1,SamuCu00
45,Courtland Sutton,DEN,27,WR,15,15,109,64,58.7%,829,13.0,2,38,51,7.6,4.3,55.3,0,SuttCo00
46,Parris Campbell,IND,25,WR,17,16,91,63,69.2%,623,9.9,3,32,49,6.8,3.7,36.6,1,CampPa00
47,Pat Freiermuth,PIT,24,TE,16,8,98,63,64.3%,732,11.6,2,37,57,7.5,3.9,45.8,0,FreiPa00
48,D.J. Moore,CAR,25,WR,17,17,118,63,53.4%,888,14.1,7,44,62,7.5,3.7,52.2,0,MoorD.00
49,Mike Williams,LAC,28,WR,13,13,93,63,67.7%,895,14.2,4,39,55,9.6,4.8,68.8,0,WillMi07
50,Donovan Peoples-Jones,CLE,23,WR,17,14,96,61,63.5%,839,13.8,3,33,42,8.7,3.6,49.4,1,PeopDo00
51,George Kittle*,SFO,29,TE,15,15,86,60,69.8%,765,12.8,11,36,54,8.9,4.0,51.0,1,KittGe00
52,Allen Lazard,GNB,27,WR,15,15,100,60,60.0%,788,13.1,6,45,47,7.9,4.0,52.5,0,LazaAl00
53,Joe Mixon,CIN,26,RB,14,14,75,60,80.0%,441,7.4,2,17,35,5.9,4.3,31.5,0,MixoJo00
54,K.J. Osborn,MIN,25,WR,17,9,90,60,66.7%,650,10.8,5,32,66,7.2,3.5,38.2,1,OsboKJ00
55,Aaron Jones,GNB,28,RB,17,17,72,59,81.9%,395,6.7,5,19,30,5.5,3.5,23.2,5,JoneAa00
56,Tyler Boyd,CIN,28,WR,16,14,82,58,70.7%,762,13.1,5,42,60,9.3,3.6,47.6,0,BoydTy00
57,Tyler Conklin,NYJ,27,TE,17,16,87,58,66.7%,552,9.5,3,25,30,6.3,3.4,32.5,2,ConkTy00
58,Gerald Everett,LAC,28,TE,16,11,87,58,66.7%,555,9.6,4,29,26,6.4,3.6,34.7,0,EverGe00
59,David Njoku,CLE,26,TE,14,14,80,58,72.5%,628,10.8,4,36,38,7.9,4.1,44.9,1,NjokDa00
60,Saquon Barkley*,NYG,25,RB,16,16,76,57,75.0%,338,5.9,0,10,41,4.4,3.6,21.1,1,BarkSa00
61,Brandin Cooks,HOU,29,WR,13,13,93,57,61.3%,699,12.3,3,29,44,7.5,4.4,53.8,0,CookBr00
62,Mack Hollins,LVR,29,WR,17,16,94,57,60.6%,690,12.1,4,34,60,7.3,3.4,40.6,0,HollMa00
63,Richie James,NYG,27,WR,17,4,70,57,81.4%,569,10.0,4,29,33,8.1,3.4,33.5,3,JameRi00
64,Alvin Kamara,NOR,27,RB,15,13,77,57,74.0%,490,8.6,2,17,54,6.4,3.8,32.7,4,KamaAl00
65,Dalton Schultz,DAL,26,TE,15,15,89,57,64.0%,577,10.1,5,27,30,6.5,3.8,38.5,1,SchuDa00
66,Jerick McKinnon,KAN,30,RB,17,0,71,56,78.9%,512,9.1,9,28,56,7.2,3.3,30.1,1,McKiJe00
67,Deebo Samuel,SFO,26,WR,13,12,94,56,59.6%,632,11.3,2,25,57,6.7,4.3,48.6,3,SamuDe00
68,Dallas Goedert,PHI,27,TE,12,12,69,55,79.7%,702,12.8,3,40,31,10.2,4.6,58.5,1,GoedDa00
